tet33,tetG,tetM,tetX,ermB,sul1,intI1,intI2,intI3,exDNA type
4269806.813,1436377.123,12128030.33,573980.9987,5660.342823,68560.60153,3803937.442,86377.4521,2129030.381,Pit
4247291.977,1047331.407,7303064.193,443404.7957,4746.908856,40075.23107,3115234.297,51631.98303,1748775.555,Pit
3275302.523,1367605.837,10318370.61,589016.628,6691.932986,69671.20027,4687201.234,97192.46203,2715265.406,Pit
11023014.09,2329645.845,38131697.35,2152669.837,19526.19691,491558.5669,35524552.76,684426.4195,6899543.115,Fresh
4520181.207,1244967.314,14943473.47,731762.483,5923.018594,170510.3522,15622296.29,213789.8363,4318476.448,Fresh
12204083.78,3798829.55,35574029.39,2149238.651,18437.74496,403998.3105,48208521.2,599059.435,10869146.96,Fresh
